40 22
#############
#...........#    ########
#...s...s...######..s...#
#.....................k.#
#...........######......#
#.....s.....#    #...s..#
#.........g.#    #......#
#.s.........#    #..m...#
#####..######    ###d####
    #..#           #..#
    #..#           #s.#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #...m..#
  #.......#      #......#
  #.....s.#      #..s...#
  #..t....#      #......#
  #.......#      #.m....#
  #h..m...#      #....c.#
  #########       ######


